noteID	book	chapter	verse	supportReference	quote	annotation	sourceWord	sourceWordOccurrence
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	Παῦλος	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	ἀπόστολος	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	Χριστοῦ	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	Ἰησοῦ	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	διὰ	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	θελήματος	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	Θεοῦ	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	καὶ	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	Τιμόθεος	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	ὁ	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	ἀδελφὸς	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	τῇ	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	ἐκκλησίᾳ	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	τοῦ	1
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	Θεοῦ	2
mel3	2CO	1	1		Παῦλος…τῇ ἐκκλησίᾳ τοῦ Θεοῦ τῇ οὔσῃ ἐν Κορίνθῳ	Your language may have a particular way of introducing the author of a letter and its intended audience. Alternate translation: “I, Paul…wrote this letter to you, the church of God that is in Corinth”	τῇ	2
