noteID	book	chapter	verse	supportReference	quote	annotation	sourceWord	sourceWordOccurrence
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	Παῦλος	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	καὶ	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	Τιμόθεος	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	δοῦλοι	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	Χριστοῦ	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	Ἰησοῦ	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	πᾶσιν	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	τοῖς	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	ἁγίοις	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	ἐν	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	Χριστῷ	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	Ἰησοῦ	2
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	τοῖς	2
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	οὖσιν	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	ἐν	2
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	Φιλίπποις	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	σὺν	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	ἐπισκόποις	1
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	καὶ	2
kze2	PHP	1	1		Παῦλος καὶ Τιμόθεος…καὶ διακόνοις	If your language has a particular way of introducing the authors of a letter, use it here.	διακόνοις	1
kx8h	PHP	1	1		Παῦλος καὶ Τιμόθεος, δοῦλοι Χριστοῦ Ἰησοῦ	“Timothy, who are servants of Christ Jesus”	Παῦλος	1
kx8h	PHP	1	1		Παῦλος καὶ Τιμόθεος, δοῦλοι Χριστοῦ Ἰησοῦ	“Timothy, who are servants of Christ Jesus”	καὶ	1
kx8h	PHP	1	1		Παῦλος καὶ Τιμόθεος, δοῦλοι Χριστοῦ Ἰησοῦ	“Timothy, who are servants of Christ Jesus”	Τιμόθεος	1
kx8h	PHP	1	1		Παῦλος καὶ Τιμόθεος, δοῦλοι Χριστοῦ Ἰησοῦ	“Timothy, who are servants of Christ Jesus”	δοῦλοι	1
kx8h	PHP	1	1		Παῦλος καὶ Τιμόθεος, δοῦλοι Χριστοῦ Ἰησοῦ	“Timothy, who are servants of Christ Jesus”	Χριστοῦ	1
kx8h	PHP	1	1		Παῦλος καὶ Τιμόθεος, δοῦλοι Χριστοῦ Ἰησοῦ	“Timothy, who are servants of Christ Jesus”	Ἰησοῦ	1
na5j	PHP	1	1		πᾶσιν τοῖς ἁγίοις ἐν Χριστῷ Ἰησοῦ	This refers to those whom God chose to belong to him by being united to Christ. Alternate translation: “all God’s people in Christ Jesus” or “all those who belong to God because they are united with Christ”	πᾶσιν	1
na5j	PHP	1	1		πᾶσιν τοῖς ἁγίοις ἐν Χριστῷ Ἰησοῦ	This refers to those whom God chose to belong to him by being united to Christ. Alternate translation: “all God’s people in Christ Jesus” or “all those who belong to God because they are united with Christ”	τοῖς	1
na5j	PHP	1	1		πᾶσιν τοῖς ἁγίοις ἐν Χριστῷ Ἰησοῦ	This refers to those whom God chose to belong to him by being united to Christ. Alternate translation: “all God’s people in Christ Jesus” or “all those who belong to God because they are united with Christ”	ἁγίοις	1
na5j	PHP	1	1		πᾶσιν τοῖς ἁγίοις ἐν Χριστῷ Ἰησοῦ	This refers to those whom God chose to belong to him by being united to Christ. Alternate translation: “all God’s people in Christ Jesus” or “all those who belong to God because they are united with Christ”	ἐν	1
na5j	PHP	1	1		πᾶσιν τοῖς ἁγίοις ἐν Χριστῷ Ἰησοῦ	This refers to those whom God chose to belong to him by being united to Christ. Alternate translation: “all God’s people in Christ Jesus” or “all those who belong to God because they are united with Christ”	Χριστῷ	1
na5j	PHP	1	1		πᾶσιν τοῖς ἁγίοις ἐν Χριστῷ Ἰησοῦ	This refers to those whom God chose to belong to him by being united to Christ. Alternate translation: “all God’s people in Christ Jesus” or “all those who belong to God because they are united with Christ”	Ἰησοῦ	2
im6v	PHP	1	1		ἐπισκόποις καὶ διακόνοις	“the leaders of the church”	ἐπισκόποις	1
im6v	PHP	1	1		ἐπισκόποις καὶ διακόνοις	“the leaders of the church”	καὶ	2
im6v	PHP	1	1		ἐπισκόποις καὶ διακόνοις	“the leaders of the church”	διακόνοις	1
ntp5	PHP	1	3		ἐπὶ πάσῃ τῇ μνείᾳ ὑμῶν	Here “remember you” means when Paul thinks about the Philippians while he is praying. Alternate translation: “every time I think of you”	ἐπὶ	1
ntp5	PHP	1	3		ἐπὶ πάσῃ τῇ μνείᾳ ὑμῶν	Here “remember you” means when Paul thinks about the Philippians while he is praying. Alternate translation: “every time I think of you”	πάσῃ	1
ntp5	PHP	1	3		ἐπὶ πάσῃ τῇ μνείᾳ ὑμῶν	Here “remember you” means when Paul thinks about the Philippians while he is praying. Alternate translation: “every time I think of you”	τῇ	1
ntp5	PHP	1	3		ἐπὶ πάσῃ τῇ μνείᾳ ὑμῶν	Here “remember you” means when Paul thinks about the Philippians while he is praying. Alternate translation: “every time I think of you”	μνείᾳ	1
ntp5	PHP	1	3		ἐπὶ πάσῃ τῇ μνείᾳ ὑμῶν	Here “remember you” means when Paul thinks about the Philippians while he is praying. Alternate translation: “every time I think of you”	ὑμῶν	1
yi9l	PHP	1	5	figs-metonymy	ἐπὶ τῇ κοινωνίᾳ ὑμῶν εἰς τὸ εὐαγγέλιον	Paul is expressing thanks to God that the Philippians have joined him in teaching people the gospel. He may have been referring to them praying for him and sending money so that he could travel and tell others. Alternate translation: “because you are helping me proclaim the gospel” (See: [[rc://en/ta/man/translate/figs-metonymy]])	ἐπὶ	1
