noteID	book	chapter	verse	supportReference	quote	annotation	sourceWord	sourceWordOccurrence
scr8	HEB	1	2		ἐπ’ ἐσχάτου τῶν ἡμερῶν τούτων	“in these final days.” This phrase refers to the time when Jesus began his ministry, extending until God establishes his complete rule in his creation.	ἐπ	1
scr8	HEB	1	2		ἐπ’ ἐσχάτου τῶν ἡμερῶν τούτων	“in these final days.” This phrase refers to the time when Jesus began his ministry, extending until God establishes his complete rule in his creation.	ἐσχάτου	1
scr8	HEB	1	2		ἐπ’ ἐσχάτου τῶν ἡμερῶν τούτων	“in these final days.” This phrase refers to the time when Jesus began his ministry, extending until God establishes his complete rule in his creation.	τῶν	1
scr8	HEB	1	2		ἐπ’ ἐσχάτου τῶν ἡμερῶν τούτων	“in these final days.” This phrase refers to the time when Jesus began his ministry, extending until God establishes his complete rule in his creation.	ἡμερῶν	1
scr8	HEB	1	2		ἐπ’ ἐσχάτου τῶν ἡμερῶν τούτων	“in these final days.” This phrase refers to the time when Jesus began his ministry, extending until God establishes his complete rule in his creation.	τούτων	1
d386	HEB	1	2	guidelines-sonofgodprinciples	ἐν Υἱῷ	“Son” here is an important title for Jesus, the Son of God. (See: [[rc://en/ta/man/translate/guidelines-sonofgodprinciples]])	ἐν	1
d386	HEB	1	2	guidelines-sonofgodprinciples	ἐν Υἱῷ	“Son” here is an important title for Jesus, the Son of God. (See: [[rc://en/ta/man/translate/guidelines-sonofgodprinciples]])	Υἱῷ	1
i93z	HEB	1	2	figs-metaphor	ἔθηκεν κληρονόμον πάντων	The author speaks of the Son as if he will inherit wealth and property from his Father. Alternate translation: “to possess all things” (See: [[rc://en/ta/man/translate/figs-metaphor]])	ἔθηκεν	1
i93z	HEB	1	2	figs-metaphor	ἔθηκεν κληρονόμον πάντων	The author speaks of the Son as if he will inherit wealth and property from his Father. Alternate translation: “to possess all things” (See: [[rc://en/ta/man/translate/figs-metaphor]])	κληρονόμον	1
i93z	HEB	1	2	figs-metaphor	ἔθηκεν κληρονόμον πάντων	The author speaks of the Son as if he will inherit wealth and property from his Father. Alternate translation: “to possess all things” (See: [[rc://en/ta/man/translate/figs-metaphor]])	πάντων	1
gqj8	HEB	1	2		δι’ οὗ καὶ ἐποίησεν τοὺς αἰῶνας;	“It is through the Son that God also made all things”	δι	1
gqj8	HEB	1	2		δι’ οὗ καὶ ἐποίησεν τοὺς αἰῶνας;	“It is through the Son that God also made all things”	οὗ	1
gqj8	HEB	1	2		δι’ οὗ καὶ ἐποίησεν τοὺς αἰῶνας;	“It is through the Son that God also made all things”	καὶ	1
gqj8	HEB	1	2		δι’ οὗ καὶ ἐποίησεν τοὺς αἰῶνας;	“It is through the Son that God also made all things”	ἐποίησεν	1
