noteID	book	chapter	verse	supportReference	quote	annotation	sourceWord	sourceWordOccurrence
p6b4	EZR	1	1	translate-ordinal	וּ⁠בִ⁠שְׁנַ֣ת אַחַ֗ת	The Hebrew uses a cardinal number here, “one,” but there is not a significant difference in meaning between that and the way the Hebrew uses an ordinal number, “first,” in similar contexts elsewhere. If your language customarily uses ordinals for the numbers of years, you can do that here in your translation. Alternate translation: “in the first year.” (See: [[rc://en/ta/man/translate/translate-ordinal]])	וּ⁠בִ⁠שְׁנַ֣ת	1
p6b4	EZR	1	1	translate-ordinal	וּ⁠בִ⁠שְׁנַ֣ת אַחַ֗ת	The Hebrew uses a cardinal number here, “one,” but there is not a significant difference in meaning between that and the way the Hebrew uses an ordinal number, “first,” in similar contexts elsewhere. If your language customarily uses ordinals for the numbers of years, you can do that here in your translation. Alternate translation: “in the first year.” (See: [[rc://en/ta/man/translate/translate-ordinal]])	אַחַ֗ת	1
1ns6	EZR	1	1	translate-names	לְ⁠כ֨וֹרֶשׁ֙	This is the name of a man. (See: [[rc://en/ta/man/translate/translate-names]])	לְ⁠כ֨וֹרֶשׁ֙	1
xkd5	EZR	1	1	translate-names	פָּרַ֔ס	This is the name of an empire. (See: [[rc://en/ta/man/translate/translate-names]])	פָּרַ֔ס	1
t5sz	EZR	1	1	figs-metonymy	דְּבַר־יְהוָ֖ה	Here “word” refers to the thing that Yahweh spoke about. Alternate translation: “the promise that Yahweh had made” (See: [[rc://en/ta/man/translate/figs-metonymy]])	דְּבַר	1
t5sz	EZR	1	1	figs-metonymy	דְּבַר־יְהוָ֖ה	Here “word” refers to the thing that Yahweh spoke about. Alternate translation: “the promise that Yahweh had made” (See: [[rc://en/ta/man/translate/figs-metonymy]])	יְהוָ֖ה	1
savk	EZR	1	1	figs-metonymy	דְּבַר־יְהוָ֖ה	What Yahweh had said specifically was that after seventy years in exile, the Jews would be allowed to return to their homeland. If it would be helpful to your readers, you could say that explicitly. Alternate translation: “the promise that Yahweh had made that after seventy years in exile, the Jews would be allowed to return to their homeland” (See: [[rc://en/ta/man/translate/figs-metonymy]])	דְּבַר	1
savk	EZR	1	1	figs-metonymy	דְּבַר־יְהוָ֖ה	What Yahweh had said specifically was that after seventy years in exile, the Jews would be allowed to return to their homeland. If it would be helpful to your readers, you could say that explicitly. Alternate translation: “the promise that Yahweh had made that after seventy years in exile, the Jews would be allowed to return to their homeland” (See: [[rc://en/ta/man/translate/figs-metonymy]])	יְהוָ֖ה	1
l953	EZR	1	1	translate-names	יְהוָ֖ה	This is the name of God that he revealed to his people in the Old Testament. It occurs many times in the book, and it will be helpful to your readers if you translate it consistently each time.  (See: [[rc://en/ta/man/translate/translate-names]].)	יְהוָ֖ה	1
y7r9	EZR	1	1	figs-metonymy	מִ⁠פִּ֣י יִרְמְיָ֑ה	Here “mouth” represents speaking. Alternate translation: “which Jeremiah spoke about” or “Jeremiah announced this promise” (See: [[rc://en/ta/man/translate/figs-metonymy]])	מִ⁠פִּ֣י	1
y7r9	EZR	1	1	figs-metonymy	מִ⁠פִּ֣י יִרְמְיָ֑ה	Here “mouth” represents speaking. Alternate translation: “which Jeremiah spoke about” or “Jeremiah announced this promise” (See: [[rc://en/ta/man/translate/figs-metonymy]])	יִרְמְיָ֑ה	1
fn3a	EZR	1	1	figs-synecdoche	הֵעִ֣יר יְהוָ֗ה אֶת־ר֨וּחַ֙ כֹּ֣רֶשׁ	Here the book uses one part of Cyrus, his spirit, to represent all of him. Alternate translation: “Yahweh made Cyrus want to act” (See: [[rc://en/ta/man/translate/figs-synecdoche]])	הֵעִ֣יר	1
fn3a	EZR	1	1	figs-synecdoche	הֵעִ֣יר יְהוָ֗ה אֶת־ר֨וּחַ֙ כֹּ֣רֶשׁ	Here the book uses one part of Cyrus, his spirit, to represent all of him. Alternate translation: “Yahweh made Cyrus want to act” (See: [[rc://en/ta/man/translate/figs-synecdoche]])	יְהוָ֗ה	1
fn3a	EZR	1	1	figs-synecdoche	הֵעִ֣יר יְהוָ֗ה אֶת־ר֨וּחַ֙ כֹּ֣רֶשׁ	Here the book uses one part of Cyrus, his spirit, to represent all of him. Alternate translation: “Yahweh made Cyrus want to act” (See: [[rc://en/ta/man/translate/figs-synecdoche]])	אֶת	1
fn3a	EZR	1	1	figs-synecdoche	הֵעִ֣יר יְהוָ֗ה אֶת־ר֨וּחַ֙ כֹּ֣רֶשׁ	Here the book uses one part of Cyrus, his spirit, to represent all of him. Alternate translation: “Yahweh made Cyrus want to act” (See: [[rc://en/ta/man/translate/figs-synecdoche]])	ר֨וּחַ֙	1
fn3a	EZR	1	1	figs-synecdoche	הֵעִ֣יר יְהוָ֗ה אֶת־ר֨וּחַ֙ כֹּ֣רֶשׁ	Here the book uses one part of Cyrus, his spirit, to represent all of him. Alternate translation: “Yahweh made Cyrus want to act” (See: [[rc://en/ta/man/translate/figs-synecdoche]])	כֹּ֣רֶשׁ	1
4z5n	EZR	1	1	figs-metaphor	הֵעִ֣יר יְהוָ֗ה אֶת־ר֨וּחַ֙ כֹּ֣רֶשׁ	Here the book speaks figuratively of Yahweh causing Cyrus to act by saying that he “stirred up” his spirit, the way winds might stir up calm waters and make them move around. The meaning is that Yahweh directly influenced the heart and will of Cyrus to get him to do something. Alternate translation: “Yahweh made Cyrus want to act” (See: [[rc://en/ta/man/translate/figs-metaphor]])	הֵעִ֣יר	1
4z5n	EZR	1	1	figs-metaphor	הֵעִ֣יר יְהוָ֗ה אֶת־ר֨וּחַ֙ כֹּ֣רֶשׁ	Here the book speaks figuratively of Yahweh causing Cyrus to act by saying that he “stirred up” his spirit, the way winds might stir up calm waters and make them move around. The meaning is that Yahweh directly influenced the heart and will of Cyrus to get him to do something. Alternate translation: “Yahweh made Cyrus want to act” (See: [[rc://en/ta/man/translate/figs-metaphor]])	יְהוָ֗ה	1
4z5n	EZR	1	1	figs-metaphor	הֵעִ֣יר יְהוָ֗ה אֶת־ר֨וּחַ֙ כֹּ֣רֶשׁ	Here the book speaks figuratively of Yahweh causing Cyrus to act by saying that he “stirred up” his spirit, the way winds might stir up calm waters and make them move around. The meaning is that Yahweh directly influenced the heart and will of Cyrus to get him to do something. Alternate translation: “Yahweh made Cyrus want to act” (See: [[rc://en/ta/man/translate/figs-metaphor]])	אֶת	1
4z5n	EZR	1	1	figs-metaphor	הֵעִ֣יר יְהוָ֗ה אֶת־ר֨וּחַ֙ כֹּ֣רֶשׁ	Here the book speaks figuratively of Yahweh causing Cyrus to act by saying that he “stirred up” his spirit, the way winds might stir up calm waters and make them move around. The meaning is that Yahweh directly influenced the heart and will of Cyrus to get him to do something. Alternate translation: “Yahweh made Cyrus want to act” (See: [[rc://en/ta/man/translate/figs-metaphor]])	ר֨וּחַ֙	1
4z5n	EZR	1	1	figs-metaphor	הֵעִ֣יר יְהוָ֗ה אֶת־ר֨וּחַ֙ כֹּ֣רֶשׁ	Here the book speaks figuratively of Yahweh causing Cyrus to act by saying that he “stirred up” his spirit, the way winds might stir up calm waters and make them move around. The meaning is that Yahweh directly influenced the heart and will of Cyrus to get him to do something. Alternate translation: “Yahweh made Cyrus want to act” (See: [[rc://en/ta/man/translate/figs-metaphor]])	כֹּ֣רֶשׁ	1
n59e	EZR	1	1	grammar-connect-logic-result	וַ⁠יַּֽעֲבֶר	This word indicates that the sentence it introduces explains the results of what the previous sentence described. Alternate translation: “As a result” (See: [[rc://en/ta/man/translate/grammar-connect-logic-result]])	וַ⁠יַּֽעֲבֶר	1
yiq4	EZR	1	1	figs-metonymy	וַ⁠יַּֽעֲבֶר־קוֹל֙ בְּ⁠כָל־מַלְכוּת֔⁠וֹ	“He” means Cyrus. In this context, the “sound” is a voice speaking a message, and the voice figuratively represents the message that it speaks. But since the message could not travel by itself, ultimately the reference is to the messengers who delivered it. Alternate translation: “Cyrus sent messengers out to proclaim a decree everywhere in his empire” (See: [[rc://en/ta/man/translate/figs-metonymy]])	וַ⁠יַּֽעֲבֶר	1
yiq4	EZR	1	1	figs-metonymy	וַ⁠יַּֽעֲבֶר־קוֹל֙ בְּ⁠כָל־מַלְכוּת֔⁠וֹ	“He” means Cyrus. In this context, the “sound” is a voice speaking a message, and the voice figuratively represents the message that it speaks. But since the message could not travel by itself, ultimately the reference is to the messengers who delivered it. Alternate translation: “Cyrus sent messengers out to proclaim a decree everywhere in his empire” (See: [[rc://en/ta/man/translate/figs-metonymy]])	קוֹל֙	1
yiq4	EZR	1	1	figs-metonymy	וַ⁠יַּֽעֲבֶר־קוֹל֙ בְּ⁠כָל־מַלְכוּת֔⁠וֹ	“He” means Cyrus. In this context, the “sound” is a voice speaking a message, and the voice figuratively represents the message that it speaks. But since the message could not travel by itself, ultimately the reference is to the messengers who delivered it. Alternate translation: “Cyrus sent messengers out to proclaim a decree everywhere in his empire” (See: [[rc://en/ta/man/translate/figs-metonymy]])	בְּ⁠כָל	1
yiq4	EZR	1	1	figs-metonymy	וַ⁠יַּֽעֲבֶר־קוֹל֙ בְּ⁠כָל־מַלְכוּת֔⁠וֹ	“He” means Cyrus. In this context, the “sound” is a voice speaking a message, and the voice figuratively represents the message that it speaks. But since the message could not travel by itself, ultimately the reference is to the messengers who delivered it. Alternate translation: “Cyrus sent messengers out to proclaim a decree everywhere in his empire” (See: [[rc://en/ta/man/translate/figs-metonymy]])	מַלְכוּת֔⁠וֹ	1
x1wz	EZR	1	1	figs-ellipsis	וְ⁠גַם־בְּ⁠מִכְתָּ֖ב	Here the book leaves out some of the words that a sentence would ordinarily need in order to be complete. The meaning is, “Cyrus also put this decree in writing.” You could say that explicitly if it would be helpful to your readers. Alternate translation: “Cyrus also sent out written copies of the decree” or “Cyrus also had his scribes write down the decree in his official records” (See: [[rc://en/ta/man/translate/figs-ellipsis]])	וְ⁠גַם	1
x1wz	EZR	1	1	figs-ellipsis	וְ⁠גַם־בְּ⁠מִכְתָּ֖ב	Here the book leaves out some of the words that a sentence would ordinarily need in order to be complete. The meaning is, “Cyrus also put this decree in writing.” You could say that explicitly if it would be helpful to your readers. Alternate translation: “Cyrus also sent out written copies of the decree” or “Cyrus also had his scribes write down the decree in his official records” (See: [[rc://en/ta/man/translate/figs-ellipsis]])	בְּ⁠מִכְתָּ֖ב	1
arwl	EZR	1	2	figs-informremind	יְהוָ֖ה אֱלֹהֵ֣י הַ⁠שָּׁמָ֑יִם	Here Cyrus provides some background information to inform his subjects who Yahweh is. Alternate translation: “Yahweh, the God who is above all” or “Yahweh, the God who rules in heaven” (See: [[rc://en/ta/man/translate/figs-informremind]])	יְהוָ֖ה	1
arwl	EZR	1	2	figs-informremind	יְהוָ֖ה אֱלֹהֵ֣י הַ⁠שָּׁמָ֑יִם	Here Cyrus provides some background information to inform his subjects who Yahweh is. Alternate translation: “Yahweh, the God who is above all” or “Yahweh, the God who rules in heaven” (See: [[rc://en/ta/man/translate/figs-informremind]])	אֱלֹהֵ֣י	1
arwl	EZR	1	2	figs-informremind	יְהוָ֖ה אֱלֹהֵ֣י הַ⁠שָּׁמָ֑יִם	Here Cyrus provides some background information to inform his subjects who Yahweh is. Alternate translation: “Yahweh, the God who is above all” or “Yahweh, the God who rules in heaven” (See: [[rc://en/ta/man/translate/figs-informremind]])	הַ⁠שָּׁמָ֑יִם	1
aqj5	EZR	1	2	figs-hyperbole	כֹּ֚ל מַמְלְכ֣וֹת הָ⁠אָ֔רֶץ	“All” is an exaggeration for emphasis. There were still some kingdoms on earth that Cyrus did not rule. However, he had conquered every other large empire in his part of the world that might have been a threat to him. Alternate translation: “has made me the unchallenged ruler over this entire land” (See: [[rc://en/ta/man/translate/figs-hyperbole]])	כֹּ֚ל	1
aqj5	EZR	1	2	figs-hyperbole	כֹּ֚ל מַמְלְכ֣וֹת הָ⁠אָ֔רֶץ	“All” is an exaggeration for emphasis. There were still some kingdoms on earth that Cyrus did not rule. However, he had conquered every other large empire in his part of the world that might have been a threat to him. Alternate translation: “has made me the unchallenged ruler over this entire land” (See: [[rc://en/ta/man/translate/figs-hyperbole]])	מַמְלְכ֣וֹת	1
aqj5	EZR	1	2	figs-hyperbole	כֹּ֚ל מַמְלְכ֣וֹת הָ⁠אָ֔רֶץ	“All” is an exaggeration for emphasis. There were still some kingdoms on earth that Cyrus did not rule. However, he had conquered every other large empire in his part of the world that might have been a threat to him. Alternate translation: “has made me the unchallenged ruler over this entire land” (See: [[rc://en/ta/man/translate/figs-hyperbole]])	הָ⁠אָ֔רֶץ	1
zb3e	EZR	1	2	figs-idioms	נָ֣תַן לִ֔⁠י	This is an idiom. Alternate translation: “has made me the ruler over” (See: [[rc://en/ta/man/translate/figs-idiom]])	נָ֣תַן	1
zb3e	EZR	1	2	figs-idioms	נָ֣תַן לִ֔⁠י	This is an idiom. Alternate translation: “has made me the ruler over” (See: [[rc://en/ta/man/translate/figs-idiom]])	לִ֔⁠י	1
1cb6	EZR	1	2		לִ⁠בְנֽוֹת־ל֣⁠וֹ בַ֔יִת	Cyrus is not going to do the building personally. Rather, he means that he is giving the Jews, the people who worship Yahweh, permission and support to rebuild his temple, which the Babylonians had destroyed. If it would be helpful to your readers, you could say that explicitly. Alternate translation: “to make it possible for the Jews, the people who worship him, to rebuild his temple”	לִ⁠בְנֽוֹת	1
1cb6	EZR	1	2		לִ⁠בְנֽוֹת־ל֣⁠וֹ בַ֔יִת	Cyrus is not going to do the building personally. Rather, he means that he is giving the Jews, the people who worship Yahweh, permission and support to rebuild his temple, which the Babylonians had destroyed. If it would be helpful to your readers, you could say that explicitly. Alternate translation: “to make it possible for the Jews, the people who worship him, to rebuild his temple”	ל֣⁠וֹ	1
1cb6	EZR	1	2		לִ⁠בְנֽוֹת־ל֣⁠וֹ בַ֔יִת	Cyrus is not going to do the building personally. Rather, he means that he is giving the Jews, the people who worship Yahweh, permission and support to rebuild his temple, which the Babylonians had destroyed. If it would be helpful to your readers, you could say that explicitly. Alternate translation: “to make it possible for the Jews, the people who worship him, to rebuild his temple”	בַ֔יִת	1
3apm	EZR	1	2	figs-metaphor	בַ֔יִת	“House” figuratively means a temple. Cyrus speaks of this temple as if it would be a house in which God lived, since God’s presence would be there. Alternate translation: “a temple” (See: [[rc://en/ta/man/translate/figs-metaphor]])	בַ֔יִת	1
i909	EZR	1	2	figs-informremind	בִּ⁠ירוּשָׁלִַ֖ם אֲשֶׁ֥ר בִּֽ⁠יהוּדָֽה׃	Here Cyrus provides some background information about the city where he wants the Jews to rebuild the temple of Yahweh, since many of the recipients of his message might not have known where Jerusalem was. Alternate translation: “in Jerusalem, the capital city of the province of Judah” (See: [[rc://en/ta/man/translate/figs-informremind]])	בִּ⁠ירוּשָׁלִַ֖ם	1
i909	EZR	1	2	figs-informremind	בִּ⁠ירוּשָׁלִַ֖ם אֲשֶׁ֥ר בִּֽ⁠יהוּדָֽה׃	Here Cyrus provides some background information about the city where he wants the Jews to rebuild the temple of Yahweh, since many of the recipients of his message might not have known where Jerusalem was. Alternate translation: “in Jerusalem, the capital city of the province of Judah” (See: [[rc://en/ta/man/translate/figs-informremind]])	אֲשֶׁ֥ר	1
i909	EZR	1	2	figs-informremind	בִּ⁠ירוּשָׁלִַ֖ם אֲשֶׁ֥ר בִּֽ⁠יהוּדָֽה׃	Here Cyrus provides some background information about the city where he wants the Jews to rebuild the temple of Yahweh, since many of the recipients of his message might not have known where Jerusalem was. Alternate translation: “in Jerusalem, the capital city of the province of Judah” (See: [[rc://en/ta/man/translate/figs-informremind]])	בִּֽ⁠יהוּדָֽה	1
gmx4	EZR	1	2	translate-names	בִּ⁠ירוּשָׁלִַ֖ם אֲשֶׁ֥ר בִּֽ⁠יהוּדָֽה׃	Jerusalem is the name of a city, and Judah is the name of the province in which it was located. These names occur many times in the book, and it will be helpful to your readers if you translate them consistently each time. (See: [[rc://en/ta/man/translate/translate-names]])	בִּ⁠ירוּשָׁלִַ֖ם	1
